Time,§y1,§y2,§y3,§y4
9.6729E+00,-9.5741E-01,4.5563E-01,3.9429E-01,8.6099E-02
9.7921E+00,-9.1039E-01,4.6065E-01,3.9279E-01,-2.8632E-03
9.8658E+00,-8.8162E-01,4.5833E-01,3.8743E-01,-6.0443E-02
9.9395E+00,-8.5336E-01,4.5169E-01,3.7894E-01,-1.1992E-01
1.0059E+01,-8.0927E-01,4.3147E-01,3.5946E-01,-2.2011E-01
1.0132E+01,-7.8332E-01,4.1288E-01,3.4470E-01,-2.8450E-01
1.0206E+01,-7.5850E-01,3.8948E-01,3.2873E-01,-3.5085E-01
1.0325E+01,-7.2085E-01,3.4104E-01,3.0300E-01,-4.6249E-01
1.0399E+01,-6.9904E-01,3.0433E-01,2.8937E-01,-5.3410E-01
1.0473E+01,-6.7810E-01,2.6228E-01,2.7971E-01,-6.0744E-01
1.0592E+01,-6.4504E-01,1.8266E-01,2.7856E-01,-7.2791E-01
1.0666E+01,-6.2412E-01,1.2631E-01,2.9117E-01,-8.0093E-01
1.0739E+01,-6.0179E-01,6.4719E-02,3.1729E-01,-8.6930E-01
1.0859E+01,-5.5989E-01,-4.4567E-02,3.9207E-01,-9.5742E-01
1.0932E+01,-5.2870E-01,-1.1640E-01,4.5636E-01,-9.8803E-01
1.1006E+01,-4.9245E-01,-1.8957E-01,5.2768E-01,-9.9329E-01
1.1125E+01,-4.2299E-01,-3.0576E-01,6.3226E-01,-9.4411E-01
1.1199E+01,-3.7471E-01,-3.7327E-01,6.7397E-01,-8.8510E-01
1.1273E+01,-3.2426E-01,-4.3595E-01,6.9074E-01,-8.1508E-01
1.1392E+01,-2.4278E-01,-5.2628E-01,6.6602E-01,-7.0181E-01
1.1466E+01,-1.9510E-01,-5.7571E-01,6.2535E-01,-6.4115E-01
1.1539E+01,-1.5093E-01,-6.2103E-01,5.7169E-01,-5.9045E-01
1.1659E+01,-8.8746E-02,-6.8752E-01,4.6888E-01,-5.2841E-01
1.1732E+01,-5.6693E-02,-7.2537E-01,4.0065E-01,-5.0002E-01
1.1806E+01,-2.9715E-02,-7.6135E-01,3.3145E-01,-4.7704E-01
1.1925E+01,3.1784E-03,-8.1638E-01,2.2075E-01,-4.4706E-01
1.1999E+01,1.6990E-02,-8.4873E-01,1.5440E-01,-4.3078E-01
1.2073E+01,2.5991E-02,-8.7989E-01,9.0252E-02,-4.1490E-01
1.2192E+01,3.0820E-02,-9.2779E-01,-8.0471E-03,-3.8806E-01
1.2266E+01,2.8109E-02,-9.5573E-01,-6.5029E-02,-3.6987E-01
1.2339E+01,2.1312E-02,-9.8227E-01,-1.1890E-01,-3.5001E-01
1.2459E+01,2.2651E-03,-1.0219E+00,-1.9906E-01,-3.1377E-01
1.2532E+01,-1.4085E-02,-1.0441E+00,-2.4405E-01,-2.8870E-01
1.2606E+01,-3.3617E-02,-1.0644E+00,-2.8537E-01,-2.6157E-01
1.2725E+01,-7.1254E-02,-1.0928E+00,-3.4418E-01,-2.1355E-01
1.2799E+01,-9.7793E-02,-1.1073E+00,-3.7536E-01,-1.8154E-01
1.2873E+01,-1.2648E-01,-1.1195E+00,-4.0247E-01,-1.4797E-01
1.2992E+01,-1.7667E-01,-1.1338E+00,-4.3749E-01,-9.0991E-02
1.3066E+01,-2.0953E-01,-1.1391E+00,-4.5359E-01,-5.4540E-02
1.3139E+01,-2.4342E-01,-1.1418E+00,-4.6538E-01,-1.7496E-02
1.3259E+01,-2.9962E-01,-1.1403E+00,-4.7533E-01,4.2899E-02
1.3332E+01,-3.3470E-01,-1.1358E+00,-4.7586E-01,7.9999E-02
1.3406E+01,-3.6966E-01,-1.1285E+00,-4.7213E-01,1.1653E-01
1.3525E+01,-4.2518E-01,-1.1112E+00,-4.5725E-01,1.7357E-01
1.3599E+01,-4.5837E-01,-1.0971E+00,-4.4273E-01,2.0704E-01
1.3673E+01,-4.9034E-01,-1.0807E+00,-4.2429E-01,2.3874E-01
1.3792E+01,-5.3878E-01,-1.0494E+00,-3.8650E-01,2.8553E-01
1.3865E+01,-5.6625E-01,-1.0274E+00,-3.5849E-01,3.1119E-01
1.3939E+01,-5.9154E-01,-1.0036E+00,-3.2714E-01,3.3404E-01
1.4058E+01,-6.2721E-01,-9.6186E-01,-2.6983E-01,3.6439E-01
1.4132E+01,-6.4567E-01,-9.3445E-01,-2.3066E-01,3.7871E-01
1.4206E+01,-6.6114E-01,-9.0613E-01,-1.8888E-01,3.8941E-01
1.4325E+01,-6.7939E-01,-8.5904E-01,-1.1626E-01,3.9866E-01
1.4399E+01,-6.8622E-01,-8.2961E-01,-6.8576E-02,3.9921E-01
1.4472E+01,-6.8945E-01,-8.0029E-01,-1.8958E-02,3.9572E-01
1.4592E+01,-6.8675E-01,-7.5385E-01,6.5082E-02,3.8152E-01
1.4665E+01,-6.7997E-01,-7.2622E-01,1.1920E-01,3.6754E-01
1.4739E+01,-6.6914E-01,-6.9977E-01,1.7496E-01,3.4974E-01
1.4858E+01,-6.4273E-01,-6.6014E-01,2.6877E-01,3.1351E-01
1.4932E+01,-6.2070E-01,-6.3799E-01,3.2923E-01,2.8714E-01
1.5006E+01,-5.9415E-01,-6.1787E-01,3.9188E-01,2.5844E-01
1.5125E+01,-5.4111E-01,-5.8997E-01,4.9896E-01,2.0931E-01
1.5199E+01,-5.0176E-01,-5.7565E-01,5.6944E-01,1.7933E-01
1.5272E+01,-4.5708E-01,-5.6347E-01,6.4387E-01,1.5185E-01
1.5392E+01,-3.7268E-01,-5.4749E-01,7.7360E-01,1.1968E-01
1.5465E+01,-3.1253E-01,-5.3898E-01,8.5919E-01,1.1335E-01
1.5539E+01,-2.4598E-01,-5.3038E-01,9.4703E-01,1.2323E-01
1.5658E+01,-1.2479E-01,-5.1253E-01,1.0823E+00,1.8731E-01
1.5732E+01,-4.2461E-02,-4.9613E-01,1.1483E+00,2.6241E-01
1.5806E+01,4.3771E-02,-4.7324E-01,1.1861E+00,3.6216E-01
1.5925E+01,1.8490E-01,-4.1923E-01,1.1619E+00,5.4285E-01
1.5999E+01,2.6823E-01,-3.7564E-01,1.0940E+00,6.3535E-01
1.6072E+01,3.4552E-01,-3.2643E-01,1.0007E+00,6.9346E-01
1.6192E+01,4.5516E-01,-2.4204E-01,8.3996E-01,7.0616E-01
1.6265E+01,5.1380E-01,-1.9106E-01,7.5394E-01,6.7321E-01
1.6339E+01,5.6669E-01,-1.4331E-01,6.8431E-01,6.1988E-01
1.6458E+01,6.4323E-01,-7.5788E-02,6.0599E-01,5.0907E-01
1.6532E+01,6.8670E-01,-4.1055E-02,5.7585E-01,4.3288E-01
1.6606E+01,7.2839E-01,-1.2053E-02,5.5721E-01,3.5377E-01
1.6725E+01,7.9405E-01,2.2268E-02,5.4853E-01,2.2059E-01
1.6799E+01,8.3473E-01,3.5323E-02,5.5737E-01,1.3254E-01
1.6872E+01,8.7661E-01,4.1536E-02,5.8276E-01,3.3186E-02
1.6992E+01,9.5637E-01,3.0554E-02,7.6150E-01,-2.8025E-01
1.7065E+01,9.7485E-01,-2.2107E-02,-8.9226E-01,-5.0878E-01
1.7139E+01,9.2693E-01,-3.8489E-02,-6.5762E-01,-1.2085E-01
1.7258E+01,8.3235E-01,-3.4706E-02,-5.5647E-01,1.3797E-01
1.7332E+01,7.9172E-01,-2.1268E-02,-5.4834E-01,2.2561E-01
1.7406E+01,7.5126E-01,-1.5641E-03,-5.5120E-01,3.0857E-01
1.7525E+01,6.8426E-01,4.2975E-02,-5.7717E-01,4.3744E-01
1.7599E+01,6.4066E-01,7.8035E-02,-6.0802E-01,5.1338E-01
1.7672E+01,5.9430E-01,1.1852E-01,-6.5249E-01,5.8404E-01
1.7791E+01,5.1062E-01,1.9400E-01,-7.5828E-01,6.7571E-01
1.7865E+01,4.5163E-01,2.4512E-01,-8.4510E-01,7.0719E-01
1.7939E+01,3.8576E-01,2.9750E-01,-9.4365E-01,7.0870E-01
1.8058E+01,2.6371E-01,3.7839E-01,-1.0983E+00,6.3091E-01
